ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
88288,Assam,Silchar,Locality_236,Apartment,5,975,90.37,0.09,2020,Furnished,3,6,5,3,5,High,Yes,Yes,Pool,West,Broker,Under_Construction
127004,Uttar Pradesh,Noida,Locality_262,Villa,4,2711,327.8,0.12,2019,Unfurnished,24,15,6,1,10,Medium,No,No,Clubhouse,East,Builder,Under_Construction
56181,Uttarakhand,Haridwar,Locality_484,Villa,2,2125,158.77,0.07,2018,Semi-furnished,15,22,7,2,1,High,No,No,"Playground, Gym",West,Builder,Under_Construction
11044,Maharashtra,Mumbai,Locality_441,Independent House,5,4827,36.39,0.01,2003,Furnished,18,18,22,2,1,Medium,Yes,No,"Playground, Pool",North,Broker,Ready_to_Move
249587,Haryana,Faridabad,Locality_53,Independent House,1,1612,278.66,0.17,2005,Semi-furnished,18,21,20,6,5,Medium,No,Yes,"Garden, Pool, Playground",West,Builder,Under_Construction
99982,Tamil Nadu,Coimbatore,Locality_5,Independent House,1,975,132.02,0.14,2006,Semi-furnished,8,28,19,8,1,Low,Yes,No,Garden,North,Broker,Ready_to_Move
189155,Uttarakhand,Dehradun,Locality_482,Independent House,4,2019,284.51,0.14,2018,Furnished,10,17,7,2,7,Medium,No,No,"Garden, Pool, Playground, Gym",West,Owner,Ready_to_Move
120143,Rajasthan,Jaipur,Locality_483,Independent House,3,1750,228.07,0.13,2006,Semi-furnished,1,15,19,10,10,Medium,Yes,No,"Pool, Clubhouse, Garden, Playground",West,Builder,Ready_to_Move
28863,Delhi,Dwarka,Locality_220,Independent House,1,1767,389.68,0.22,2016,Furnished,25,3,9,3,1,High,Yes,Yes,Playground,East,Broker,Under_Construction
30077,Andhra Pradesh,Vishakhapatnam,Locality_415,Independent House,4,2931,267.53,0.09,2016,Semi-furnished,27,5,9,7,6,Low,No,No,"Gym, Clubhouse, Playground, Garden",South,Broker,Under_Construction
211557,Odisha,Bhubaneswar,Locality_92,Villa,1,3335,11.4,0.0,2023,Furnished,0,9,2,10,3,Medium,No,Yes,"Pool, Gym, Clubhouse, Garden",East,Builder,Under_Construction
56368,Karnataka,Bangalore,Locality_148,Villa,4,1061,426.88,0.4,1994,Semi-furnished,21,4,31,3,8,Low,Yes,Yes,Pool,West,Broker,Ready_to_Move
216000,Tamil Nadu,Coimbatore,Locality_226,Apartment,1,4316,307.67,0.07,2004,Furnished,20,19,21,4,5,High,Yes,No,Pool,East,Builder,Ready_to_Move
106965,Gujarat,Surat,Locality_159,Independent House,4,2633,131.58,0.05,2006,Unfurnished,22,4,19,10,8,Low,No,No,"Garden, Gym, Clubhouse, Playground",East,Owner,Ready_to_Move
118012,Tamil Nadu,Chennai,Locality_247,Apartment,2,3621,424.3,0.12,2000,Furnished,21,29,25,2,10,High,Yes,No,"Playground, Gym, Clubhouse, Garden",West,Broker,Ready_to_Move
197669,Bihar,Gaya,Locality_351,Independent House,5,529,444.0,0.84,1991,Unfurnished,24,7,34,6,1,Medium,Yes,No,"Playground, Pool, Clubhouse, Gym, Garden",South,Broker,Under_Construction
236608,Delhi,New Delhi,Locality_46,Independent House,3,4658,264.73,0.06,2005,Semi-furnished,7,22,20,1,6,High,Yes,Yes,"Garden, Playground",North,Owner,Ready_to_Move
198369,Haryana,Gurgaon,Locality_255,Villa,4,2682,342.57,0.13,2015,Unfurnished,15,12,10,5,4,High,No,Yes,"Pool, Playground",North,Builder,Under_Construction
247203,West Bengal,Durgapur,Locality_292,Independent House,5,1336,46.51,0.03,2012,Furnished,28,18,13,1,6,Low,No,No,"Gym, Garden, Pool, Clubhouse, Playground",North,Builder,Under_Construction
243661,Telangana,Hyderabad,Locality_412,Villa,3,2958,165.4,0.06,1997,Furnished,11,19,28,4,4,Low,Yes,No,"Garden, Playground, Clubhouse, Pool",North,Builder,Ready_to_Move
226955,Tamil Nadu,Coimbatore,Locality_402,Villa,2,1827,203.21,0.11,2010,Furnished,18,1,15,6,2,Low,Yes,No,"Pool, Playground, Clubhouse",South,Builder,Ready_to_Move
146006,Uttar Pradesh,Noida,Locality_268,Villa,1,1290,118.76,0.09,2014,Unfurnished,18,5,11,3,6,Medium,No,Yes,"Clubhouse, Gym",North,Builder,Ready_to_Move
186027,Delhi,Dwarka,Locality_221,Villa,3,4459,289.54,0.06,2004,Unfurnished,28,3,21,2,8,High,Yes,Yes,"Garden, Playground, Clubhouse, Pool",South,Owner,Ready_to_Move
150827,Assam,Silchar,Locality_136,Villa,3,1712,162.04,0.09,2011,Furnished,19,29,14,8,7,High,No,Yes,"Clubhouse, Gym, Garden",West,Broker,Under_Construction
51336,Madhya Pradesh,Bhopal,Locality_266,Independent House,1,1208,188.5,0.16,1999,Unfurnished,28,18,26,1,1,Medium,Yes,Yes,"Gym, Playground, Garden, Pool",South,Owner,Ready_to_Move
217167,Andhra Pradesh,Vishakhapatnam,Locality_39,Apartment,4,4518,285.25,0.06,2015,Semi-furnished,2,4,10,1,3,High,No,Yes,Gym,East,Broker,Ready_to_Move
52491,Haryana,Gurgaon,Locality_54,Villa,3,3282,428.97,0.13,2006,Furnished,19,26,19,10,5,High,Yes,No,"Pool, Playground, Clubhouse, Gym",West,Broker,Under_Construction
208256,Karnataka,Mysore,Locality_72,Apartment,2,1502,148.16,0.1,2007,Unfurnished,28,1,18,8,9,Medium,No,No,Gym,North,Owner,Ready_to_Move
14343,Uttarakhand,Dehradun,Locality_268,Villa,1,4368,363.29,0.08,2022,Unfurnished,30,30,3,5,10,Medium,No,No,"Garden, Clubhouse, Playground, Pool, Gym",North,Owner,Under_Construction
123858,Rajasthan,Jodhpur,Locality_472,Independent House,1,4418,200.49,0.05,2010,Semi-furnished,25,29,15,9,1,Low,No,No,"Gym, Playground",East,Builder,Under_Construction
125354,Uttar Pradesh,Lucknow,Locality_241,Villa,1,2574,259.21,0.1,2007,Unfurnished,22,3,18,5,7,Low,Yes,No,Gym,East,Broker,Under_Construction
117874,Karnataka,Mysore,Locality_49,Apartment,4,4488,300.74,0.07,1993,Unfurnished,10,6,32,3,7,Medium,Yes,No,"Garden, Gym, Playground, Clubhouse",West,Broker,Ready_to_Move
110638,Karnataka,Mangalore,Locality_38,Villa,4,3022,459.94,0.15,2001,Unfurnished,6,1,24,2,4,Low,Yes,Yes,"Gym, Garden",North,Builder,Ready_to_Move
219618,Tamil Nadu,Chennai,Locality_193,Apartment,5,726,314.83,0.43,2006,Furnished,20,11,19,8,7,Medium,Yes,Yes,"Garden, Clubhouse, Playground, Gym",East,Owner,Under_Construction
64438,Haryana,Gurgaon,Locality_84,Apartment,4,3780,118.14,0.03,2011,Furnished,26,24,14,4,4,Medium,Yes,Yes,"Garden, Clubhouse",South,Builder,Ready_to_Move
13067,Uttarakhand,Dehradun,Locality_231,Villa,2,1813,364.08,0.2,2002,Semi-furnished,15,23,23,7,9,Medium,Yes,Yes,"Playground, Clubhouse",South,Owner,Ready_to_Move
215721,Haryana,Gurgaon,Locality_482,Villa,1,2689,311.6,0.12,2002,Furnished,3,8,23,5,4,Low,No,No,"Gym, Garden, Clubhouse",West,Owner,Ready_to_Move
150995,Odisha,Cuttack,Locality_424,Apartment,3,3583,25.51,0.01,2000,Unfurnished,26,6,25,10,7,Low,Yes,Yes,"Pool, Clubhouse, Playground",East,Broker,Under_Construction
137756,Chhattisgarh,Bilaspur,Locality_153,Villa,3,2613,332.97,0.13,1997,Unfurnished,10,16,28,5,2,High,No,No,"Pool, Gym, Playground",West,Owner,Under_Construction
162695,Bihar,Gaya,Locality_95,Independent House,3,4199,33.13,0.01,2013,Furnished,6,24,12,10,8,High,Yes,No,"Gym, Playground, Clubhouse, Pool",South,Broker,Under_Construction
180506,Karnataka,Mysore,Locality_86,Villa,1,2272,245.79,0.11,2009,Unfurnished,30,16,16,3,10,Medium,Yes,No,Clubhouse,North,Owner,Ready_to_Move
33484,Assam,Guwahati,Locality_489,Villa,2,718,237.36,0.33,1998,Semi-furnished,19,21,27,6,10,Medium,Yes,Yes,Gym,South,Owner,Under_Construction
105305,Telangana,Hyderabad,Locality_271,Independent House,4,1817,162.94,0.09,2023,Unfurnished,23,29,2,2,3,High,Yes,No,"Pool, Gym, Playground",North,Builder,Ready_to_Move
23884,Gujarat,Surat,Locality_377,Villa,2,861,234.61,0.27,2008,Unfurnished,9,11,17,7,10,Medium,No,Yes,Pool,East,Builder,Ready_to_Move
134270,Gujarat,Ahmedabad,Locality_499,Apartment,5,1491,482.85,0.32,2004,Unfurnished,22,28,21,1,4,High,No,Yes,"Pool, Garden, Playground, Gym, Clubhouse",South,Broker,Ready_to_Move
112615,Tamil Nadu,Chennai,Locality_133,Independent House,2,1849,383.33,0.21,2020,Unfurnished,8,2,5,10,9,High,Yes,Yes,Gym,North,Broker,Ready_to_Move
64073,Gujarat,Ahmedabad,Locality_82,Villa,1,4826,22.15,0.0,2012,Furnished,16,26,13,6,4,High,Yes,No,"Clubhouse, Garden, Playground",South,Builder,Under_Construction
107626,Maharashtra,Nagpur,Locality_143,Independent House,5,2733,131.95,0.05,2006,Unfurnished,2,10,19,4,7,Medium,Yes,Yes,Garden,North,Broker,Ready_to_Move
244329,Uttarakhand,Dehradun,Locality_31,Independent House,3,2668,457.08,0.17,1996,Semi-furnished,17,3,29,5,2,Medium,Yes,No,"Playground, Garden, Clubhouse, Gym, Pool",South,Owner,Ready_to_Move
90460,Rajasthan,Jodhpur,Locality_198,Villa,2,4875,89.94,0.02,2017,Semi-furnished,10,3,8,8,8,Medium,No,Yes,Garden,West,Owner,Under_Construction
218855,Uttar Pradesh,Noida,Locality_295,Villa,3,1124,180.92,0.16,2016,Semi-furnished,15,22,9,3,9,Low,Yes,No,"Gym, Playground, Garden, Pool",North,Broker,Ready_to_Move
234144,Maharashtra,Pune,Locality_318,Apartment,1,2069,468.43,0.23,2007,Unfurnished,21,6,18,6,7,Low,No,No,"Gym, Pool, Clubhouse, Garden, Playground",East,Owner,Under_Construction
208110,Jharkhand,Jamshedpur,Locality_418,Independent House,3,3384,14.7,0.0,1997,Furnished,4,24,28,7,8,Low,Yes,No,"Pool, Clubhouse, Playground",North,Owner,Under_Construction
108277,Bihar,Gaya,Locality_289,Independent House,2,2048,487.45,0.24,2015,Furnished,26,8,10,1,5,Low,Yes,No,"Gym, Garden",East,Broker,Under_Construction
147349,Telangana,Warangal,Locality_163,Villa,2,2734,280.9,0.1,2017,Furnished,6,3,8,9,2,Medium,Yes,No,Gym,West,Owner,Ready_to_Move
52517,Uttar Pradesh,Noida,Locality_46,Independent House,4,4537,141.75,0.03,2011,Unfurnished,5,15,14,10,2,High,No,No,Garden,West,Builder,Under_Construction
81064,Bihar,Gaya,Locality_483,Independent House,4,3640,260.81,0.07,1996,Semi-furnished,14,6,29,10,3,High,No,Yes,"Garden, Playground, Gym",North,Owner,Ready_to_Move
195828,Rajasthan,Jaipur,Locality_122,Apartment,1,3891,342.22,0.09,1999,Furnished,18,22,26,2,5,High,Yes,No,"Gym, Playground",South,Builder,Under_Construction
184468,Haryana,Faridabad,Locality_18,Apartment,2,2280,468.15,0.21,2009,Semi-furnished,9,20,16,6,6,Low,Yes,No,"Gym, Playground, Pool, Clubhouse",North,Builder,Ready_to_Move
121051,Gujarat,Surat,Locality_221,Independent House,2,3379,344.31,0.1,1998,Semi-furnished,18,13,27,10,6,Medium,No,Yes,"Gym, Playground, Clubhouse, Garden, Pool",North,Owner,Ready_to_Move
196635,Tamil Nadu,Chennai,Locality_435,Apartment,3,2973,475.65,0.16,2005,Semi-furnished,1,28,20,2,8,High,No,No,"Garden, Pool, Playground",North,Builder,Under_Construction
234843,Telangana,Hyderabad,Locality_319,Independent House,2,2656,329.74,0.12,1998,Semi-furnished,20,19,27,7,7,High,Yes,No,"Garden, Clubhouse, Playground, Pool, Gym",North,Owner,Ready_to_Move
179832,Maharashtra,Nagpur,Locality_48,Independent House,3,4679,315.44,0.07,2021,Unfurnished,1,5,4,3,4,High,Yes,Yes,"Clubhouse, Playground, Gym, Pool",North,Owner,Under_Construction
232617,West Bengal,Kolkata,Locality_320,Independent House,2,2554,231.27,0.09,2003,Furnished,11,11,22,7,2,High,Yes,No,"Gym, Garden, Playground",North,Broker,Ready_to_Move
10614,Odisha,Bhubaneswar,Locality_304,Apartment,3,1312,493.72,0.38,2004,Unfurnished,23,11,21,2,7,High,No,No,Gym,North,Builder,Under_Construction
227322,Haryana,Faridabad,Locality_437,Apartment,5,4032,465.05,0.12,1992,Furnished,1,22,33,9,8,Medium,Yes,No,"Clubhouse, Playground, Gym, Pool, Garden",North,Broker,Ready_to_Move
160324,Rajasthan,Jodhpur,Locality_376,Independent House,3,3014,340.68,0.11,2023,Unfurnished,14,15,2,2,8,High,No,No,Garden,East,Broker,Under_Construction
233537,Rajasthan,Jaipur,Locality_309,Villa,2,962,192.66,0.2,2009,Furnished,4,21,16,5,10,Low,No,Yes,"Playground, Pool, Clubhouse",East,Builder,Ready_to_Move
54421,Tamil Nadu,Coimbatore,Locality_364,Villa,1,983,414.98,0.42,2018,Semi-furnished,29,21,7,4,1,Medium,No,No,"Garden, Gym, Pool, Clubhouse, Playground",South,Owner,Under_Construction
188698,Assam,Guwahati,Locality_231,Apartment,1,3369,449.8,0.13,2019,Unfurnished,17,3,6,6,3,High,No,Yes,Clubhouse,West,Builder,Ready_to_Move
243849,Rajasthan,Jaipur,Locality_218,Independent House,3,4336,370.63,0.09,1997,Furnished,4,15,28,10,10,Medium,Yes,No,Clubhouse,East,Builder,Under_Construction
223406,Tamil Nadu,Coimbatore,Locality_420,Apartment,2,4761,201.36,0.04,2017,Unfurnished,16,14,8,4,7,Low,No,Yes,"Gym, Garden, Playground, Pool, Clubhouse",North,Builder,Ready_to_Move
96338,Jharkhand,Jamshedpur,Locality_331,Villa,3,3258,195.6,0.06,2021,Semi-furnished,20,14,4,7,4,Medium,Yes,No,"Clubhouse, Garden, Gym",South,Owner,Under_Construction
242075,Madhya Pradesh,Indore,Locality_46,Villa,1,3463,149.91,0.04,1998,Furnished,26,3,27,6,6,High,No,No,"Garden, Clubhouse, Pool",South,Broker,Ready_to_Move
150509,Jharkhand,Jamshedpur,Locality_113,Independent House,2,3139,184.64,0.06,2014,Furnished,23,5,11,6,3,Medium,Yes,Yes,"Garden, Pool, Playground, Clubhouse",West,Builder,Ready_to_Move
165558,Assam,Silchar,Locality_52,Villa,2,2081,498.75,0.24,1998,Semi-furnished,3,11,27,3,4,Medium,Yes,Yes,Gym,North,Owner,Ready_to_Move
97857,Haryana,Gurgaon,Locality_394,Independent House,4,3065,372.35,0.12,1993,Unfurnished,0,22,32,3,7,Medium,No,No,"Pool, Playground, Gym",West,Broker,Ready_to_Move
208020,Bihar,Patna,Locality_170,Villa,1,1474,357.64,0.24,2003,Unfurnished,28,27,22,9,9,Medium,Yes,Yes,"Gym, Garden",East,Builder,Under_Construction
175961,Kerala,Trivandrum,Locality_57,Independent House,2,4406,193.11,0.04,1998,Semi-furnished,5,24,27,4,2,Low,Yes,Yes,"Pool, Clubhouse, Playground, Garden",South,Builder,Under_Construction
70535,Chhattisgarh,Bilaspur,Locality_499,Independent House,4,2588,422.71,0.16,1997,Furnished,18,27,28,5,3,High,Yes,Yes,"Pool, Garden, Playground",North,Broker,Under_Construction
121069,Gujarat,Surat,Locality_425,Villa,3,2940,98.93,0.03,2007,Semi-furnished,14,22,18,10,8,High,No,No,Gym,West,Builder,Under_Construction
221998,Andhra Pradesh,Vijayawada,Locality_226,Apartment,1,1444,443.04,0.31,2019,Furnished,13,29,6,9,1,Medium,No,No,"Playground, Garden, Pool",South,Owner,Ready_to_Move
101442,Chhattisgarh,Bilaspur,Locality_405,Villa,3,3109,360.23,0.12,2017,Semi-furnished,22,5,8,3,10,High,No,No,"Clubhouse, Garden, Gym, Playground",South,Broker,Ready_to_Move
141180,Assam,Silchar,Locality_278,Apartment,5,3459,171.03,0.05,2001,Unfurnished,22,27,24,5,3,High,Yes,Yes,"Clubhouse, Pool, Gym",North,Owner,Under_Construction
196041,Assam,Silchar,Locality_449,Apartment,3,2186,46.42,0.02,2000,Furnished,23,26,25,6,2,High,No,No,"Gym, Garden, Clubhouse, Playground",East,Broker,Ready_to_Move
165215,Delhi,Dwarka,Locality_81,Independent House,2,1945,387.27,0.2,1994,Unfurnished,27,26,31,2,2,Medium,No,Yes,"Clubhouse, Playground, Pool, Gym",East,Broker,Under_Construction
27434,West Bengal,Durgapur,Locality_491,Villa,5,1376,303.68,0.22,1996,Semi-furnished,1,27,29,3,2,High,No,Yes,"Garden, Clubhouse, Playground",South,Broker,Ready_to_Move
122923,Tamil Nadu,Coimbatore,Locality_77,Independent House,4,4753,498.18,0.1,2015,Semi-furnished,15,11,10,9,9,Low,No,Yes,"Pool, Clubhouse, Garden, Gym, Playground",East,Builder,Ready_to_Move
150184,Delhi,Dwarka,Locality_197,Apartment,3,2292,326.06,0.14,1998,Semi-furnished,17,30,27,9,4,High,No,No,"Pool, Playground, Garden",East,Builder,Under_Construction
102070,Odisha,Bhubaneswar,Locality_197,Independent House,3,736,122.89,0.17,2005,Semi-furnished,16,3,20,2,10,Medium,No,Yes,Pool,North,Broker,Ready_to_Move
135671,Haryana,Gurgaon,Locality_421,Villa,5,3221,155.93,0.05,2010,Furnished,4,15,15,3,8,Low,No,Yes,"Gym, Clubhouse, Playground, Garden",South,Builder,Under_Construction
159550,Telangana,Hyderabad,Locality_205,Villa,1,3770,484.04,0.13,2023,Semi-furnished,22,9,2,6,1,High,No,No,"Garden, Pool, Gym",West,Builder,Ready_to_Move
132779,Bihar,Gaya,Locality_58,Independent House,2,2631,383.36,0.15,2017,Furnished,14,30,8,9,2,Low,No,Yes,Playground,East,Broker,Under_Construction
158853,Bihar,Gaya,Locality_440,Apartment,1,1469,347.36,0.24,2006,Semi-furnished,10,26,19,7,7,Low,Yes,Yes,"Playground, Garden",East,Owner,Ready_to_Move
135862,Bihar,Patna,Locality_272,Apartment,3,3567,144.35,0.04,2008,Unfurnished,6,14,17,1,9,Low,No,Yes,Playground,East,Owner,Ready_to_Move
232044,Madhya Pradesh,Bhopal,Locality_176,Villa,5,4893,16.47,0.0,1993,Semi-furnished,14,7,32,8,7,Medium,Yes,Yes,"Garden, Pool",West,Builder,Under_Construction
92258,Telangana,Hyderabad,Locality_310,Apartment,4,2623,128.87,0.05,2004,Unfurnished,19,12,21,5,4,High,Yes,No,Pool,North,Broker,Ready_to_Move
54520,Maharashtra,Nagpur,Locality_231,Independent House,5,1041,390.1,0.37,2023,Furnished,13,15,2,8,1,Medium,Yes,No,Gym,South,Broker,Under_Construction
57182,Gujarat,Surat,Locality_162,Villa,4,4902,226.98,0.05,2003,Unfurnished,12,6,22,4,9,High,No,Yes,Gym,South,Owner,Under_Construction
239008,Maharashtra,Mumbai,Locality_442,Apartment,5,4473,196.88,0.04,2005,Furnished,3,21,20,7,8,Medium,No,Yes,"Pool, Clubhouse, Gym",West,Builder,Ready_to_Move
20803,Odisha,Bhubaneswar,Locality_464,Villa,5,643,450.84,0.7,2022,Semi-furnished,19,22,3,4,4,Medium,No,No,Pool,East,Broker,Under_Construction
142016,Haryana,Gurgaon,Locality_425,Apartment,1,4743,225.1,0.05,2023,Furnished,0,12,2,3,5,High,No,No,"Clubhouse, Playground, Pool",West,Broker,Under_Construction
71131,Gujarat,Surat,Locality_230,Independent House,3,4908,104.07,0.02,2017,Unfurnished,17,27,8,6,5,Medium,Yes,No,"Gym, Playground, Garden, Clubhouse, Pool",North,Owner,Ready_to_Move
131022,Maharashtra,Pune,Locality_480,Independent House,5,959,186.74,0.19,2019,Semi-furnished,29,28,6,9,3,Medium,No,No,"Playground, Garden, Gym, Pool, Clubhouse",West,Owner,Ready_to_Move
34339,Telangana,Warangal,Locality_9,Independent House,4,3881,239.79,0.06,2012,Furnished,25,28,13,4,4,Medium,Yes,Yes,"Pool, Clubhouse",South,Broker,Ready_to_Move
248464,Chhattisgarh,Bilaspur,Locality_419,Apartment,1,3290,304.48,0.09,1992,Unfurnished,2,11,33,10,9,Medium,No,No,"Pool, Playground, Gym",East,Broker,Ready_to_Move
56980,Uttarakhand,Haridwar,Locality_322,Apartment,5,1341,94.39,0.07,1994,Semi-furnished,4,21,31,4,1,Medium,No,Yes,"Clubhouse, Gym, Pool, Garden, Playground",East,Broker,Under_Construction
130287,Punjab,Amritsar,Locality_167,Villa,5,1069,317.4,0.3,2021,Furnished,22,21,4,4,3,High,Yes,No,Garden,West,Broker,Ready_to_Move
40332,Tamil Nadu,Coimbatore,Locality_333,Independent House,4,4515,133.42,0.03,2010,Semi-furnished,4,20,15,5,6,Low,Yes,Yes,"Gym, Clubhouse, Playground, Garden",North,Builder,Under_Construction
20630,Tamil Nadu,Coimbatore,Locality_263,Apartment,4,4755,199.82,0.04,2016,Unfurnished,3,11,9,10,5,High,Yes,No,"Clubhouse, Gym, Pool, Garden",North,Builder,Under_Construction
40821,Tamil Nadu,Coimbatore,Locality_377,Villa,5,4661,371.73,0.08,2010,Semi-furnished,13,4,15,10,7,Low,Yes,No,"Gym, Clubhouse, Playground",East,Builder,Under_Construction
25706,Delhi,Dwarka,Locality_232,Apartment,5,2617,43.03,0.02,2003,Semi-furnished,28,10,22,9,1,Low,No,No,Pool,East,Builder,Ready_to_Move
219190,Uttarakhand,Dehradun,Locality_28,Apartment,4,2037,238.69,0.12,1994,Semi-furnished,24,3,31,4,8,Medium,No,No,"Playground, Pool, Garden, Clubhouse, Gym",West,Builder,Ready_to_Move
165685,Chhattisgarh,Raipur,Locality_218,Apartment,4,2479,406.56,0.16,2013,Semi-furnished,8,4,12,1,9,Low,No,Yes,"Clubhouse, Garden",West,Broker,Under_Construction
129839,Uttarakhand,Haridwar,Locality_286,Independent House,5,1419,150.98,0.11,2011,Semi-furnished,1,29,14,4,10,High,Yes,Yes,"Gym, Clubhouse",South,Owner,Ready_to_Move
8214,Gujarat,Surat,Locality_218,Independent House,5,1380,208.96,0.15,1998,Unfurnished,15,3,27,4,6,Medium,Yes,Yes,"Clubhouse, Garden, Playground, Gym",North,Owner,Under_Construction
118327,Jharkhand,Ranchi,Locality_19,Apartment,5,2757,260.07,0.09,2013,Unfurnished,16,6,12,4,1,High,Yes,Yes,"Playground, Gym, Garden, Clubhouse",South,Broker,Ready_to_Move
50737,Odisha,Cuttack,Locality_203,Villa,4,3280,350.79,0.11,1994,Furnished,15,22,31,2,5,Medium,Yes,Yes,Clubhouse,West,Owner,Under_Construction
4083,Tamil Nadu,Chennai,Locality_395,Independent House,2,1022,437.4,0.43,1996,Furnished,5,24,29,3,3,Medium,Yes,Yes,"Garden, Clubhouse, Pool",North,Owner,Under_Construction
123289,Telangana,Hyderabad,Locality_34,Villa,5,3763,267.3,0.07,2005,Unfurnished,28,17,20,9,2,High,No,No,Gym,South,Broker,Under_Construction
45316,Telangana,Hyderabad,Locality_343,Villa,3,3932,130.68,0.03,2019,Unfurnished,6,3,6,5,8,Low,No,No,"Gym, Garden, Clubhouse, Playground",East,Builder,Ready_to_Move
166121,Rajasthan,Jaipur,Locality_85,Independent House,2,1222,436.78,0.36,2017,Furnished,23,18,8,5,8,Medium,Yes,No,"Clubhouse, Gym, Pool",East,Broker,Under_Construction
43647,Assam,Guwahati,Locality_318,Independent House,5,2015,180.76,0.09,2008,Unfurnished,6,8,17,5,9,Low,Yes,No,"Pool, Clubhouse",South,Builder,Under_Construction
5298,Jharkhand,Ranchi,Locality_175,Independent House,2,2658,80.35,0.03,2005,Furnished,5,3,20,9,9,Medium,No,No,"Playground, Clubhouse, Garden, Gym, Pool",East,Builder,Ready_to_Move
241370,Kerala,Trivandrum,Locality_151,Villa,2,991,491.92,0.5,2003,Furnished,13,28,22,6,9,Low,No,Yes,"Garden, Pool, Playground, Gym, Clubhouse",North,Broker,Ready_to_Move
236530,Telangana,Hyderabad,Locality_174,Independent House,1,1791,482.11,0.27,2003,Furnished,26,17,22,4,5,High,Yes,Yes,"Garden, Pool, Clubhouse, Gym, Playground",North,Owner,Ready_to_Move
128185,Tamil Nadu,Coimbatore,Locality_370,Apartment,4,1966,107.08,0.05,2009,Unfurnished,18,5,16,10,5,Medium,No,Yes,"Clubhouse, Playground, Pool, Gym, Garden",West,Owner,Ready_to_Move
66379,Telangana,Warangal,Locality_191,Independent House,2,2077,481.8,0.23,2009,Furnished,15,21,16,3,7,Medium,No,No,"Playground, Gym, Pool",East,Owner,Ready_to_Move
217763,Chhattisgarh,Bilaspur,Locality_163,Apartment,4,3068,285.52,0.09,1996,Unfurnished,8,15,29,4,6,Low,No,No,"Playground, Garden, Pool, Gym, Clubhouse",North,Builder,Ready_to_Move
19927,Odisha,Cuttack,Locality_476,Apartment,3,774,189.61,0.24,2010,Semi-furnished,29,15,15,9,8,Medium,No,Yes,"Clubhouse, Gym",South,Owner,Ready_to_Move
72675,Rajasthan,Jodhpur,Locality_107,Apartment,4,4034,370.46,0.09,2020,Unfurnished,2,17,5,9,9,Low,No,Yes,"Pool, Clubhouse, Playground, Garden, Gym",South,Broker,Under_Construction
108150,Uttarakhand,Dehradun,Locality_151,Independent House,3,4859,238.44,0.05,2000,Semi-furnished,25,2,25,9,2,High,Yes,Yes,"Garden, Playground, Gym, Clubhouse, Pool",North,Owner,Under_Construction
63874,Uttarakhand,Dehradun,Locality_45,Independent House,5,2084,468.05,0.22,2000,Unfurnished,3,14,25,7,5,High,Yes,Yes,"Gym, Playground, Garden, Pool",North,Owner,Under_Construction
52934,Tamil Nadu,Chennai,Locality_447,Apartment,4,1499,85.23,0.06,1990,Unfurnished,23,16,35,7,4,Low,No,Yes,"Playground, Pool",North,Owner,Ready_to_Move
64789,Maharashtra,Nagpur,Locality_234,Independent House,2,992,487.43,0.49,2014,Furnished,18,16,11,5,1,Medium,No,Yes,"Pool, Gym",East,Broker,Ready_to_Move
163135,Assam,Silchar,Locality_478,Villa,3,3675,474.34,0.13,1993,Semi-furnished,18,18,32,8,10,High,Yes,No,Clubhouse,West,Broker,Ready_to_Move
65932,Bihar,Patna,Locality_268,Apartment,5,1143,357.98,0.31,1999,Furnished,7,14,26,10,2,High,Yes,Yes,"Gym, Garden, Pool",South,Owner,Ready_to_Move
167410,West Bengal,Kolkata,Locality_359,Apartment,2,2580,280.82,0.11,1998,Semi-furnished,11,26,27,1,8,High,Yes,No,"Playground, Garden, Pool, Gym",North,Owner,Ready_to_Move
56512,Tamil Nadu,Coimbatore,Locality_8,Villa,3,3176,447.06,0.14,1997,Furnished,26,25,28,1,3,High,Yes,No,"Gym, Garden",North,Builder,Under_Construction
37205,Haryana,Gurgaon,Locality_156,Villa,4,4032,265.8,0.07,2013,Unfurnished,29,11,12,10,1,Low,No,Yes,"Pool, Garden, Gym",North,Owner,Ready_to_Move
170487,Jharkhand,Ranchi,Locality_409,Independent House,5,4836,70.74,0.01,2003,Semi-furnished,6,7,22,9,7,Medium,No,No,"Clubhouse, Garden, Playground, Pool",East,Builder,Ready_to_Move
159340,West Bengal,Durgapur,Locality_311,Villa,5,4938,52.25,0.01,2011,Furnished,27,11,14,7,8,High,No,No,"Pool, Gym",South,Builder,Ready_to_Move
51809,Haryana,Faridabad,Locality_186,Independent House,4,3184,114.42,0.04,1996,Unfurnished,30,7,29,5,10,High,No,Yes,"Pool, Playground, Clubhouse",South,Builder,Ready_to_Move
28629,Madhya Pradesh,Indore,Locality_478,Independent House,5,3935,28.0,0.01,1990,Semi-furnished,22,15,35,5,3,High,No,No,"Garden, Pool, Clubhouse",West,Builder,Under_Construction
